#LCMV Arm
#3-10
     gene log2FoldChange       pvalue pvalue_adj  label
3   Lag3     -3.6899114 3.860246e-152 1.246280e-147   Lag3
4 Cx3cr1      2.2924401  1.016917e-71  3.283117e-67 Cx3cr1
5  Tbx21      0.9691992  4.692276e-17  1.514901e-12  Tbx21
6   Tcf7      1.7384637  6.931384e-08  2.237797e-03   Tcf7
7  Cxcr3      0.2019336  3.104246e-05  1.000000e+00  Cxcr3
8   Il7r      0.4634095  1.138654e-01  1.000000e+00   Il7r

#1-3
    gene log2FoldChange        pvalue    pvalue_adj  label
1  Cxcr3     -1.3500795 2.169872e-154 7.005431e-150  Cxcr3
2   Cd27     -0.3480057  9.763371e-53  3.152104e-48   Cd27
3  Pdcd1     -3.0382492  4.746567e-39  1.532429e-34  Pdcd1
4 Cx3cr1      0.7857705  7.888059e-09  2.546660e-04 Cx3cr1
5  Klrg1      0.5743795  5.426396e-04  1.000000e+00  Klrg1
6  Tbx21      0.3208181  2.565007e-03  1.000000e+00  Tbx21
7   Il7r      0.5092757  1.576105e-02  1.000000e+00   Il7r
8   Tcf7      1.0588506  6.098654e-02  1.000000e+00   Tcf7

#5-12
    gene log2FoldChange        pvalue    pvalue_adj  label
1   Il7r      3.1649895 7.157466e-191 2.310788e-186   Il7r
2  Pdcd1     -3.4713522 1.324478e-178 4.276078e-174  Pdcd1
3   Lag3     -4.5002991 1.239003e-151 4.000123e-147   Lag3
4   Tcf7     -0.4848136  1.297653e-21  4.189471e-17   Tcf7
5  Klrg1      7.2111724  7.558972e-21  2.440414e-16  Klrg1
6 Cx3cr1      3.8044484  1.375749e-18  4.441607e-14 Cx3cr1
7   Cd27     -0.1417236  6.548331e-09  2.114129e-04   Cd27
8  Tbx21      0.9536772  3.322072e-08  1.072531e-03  Tbx21
9   Ccr7     -0.6054774  2.156117e-07  6.961025e-03   Ccr7
